,sgName,ABL_Plasmid_1,ABL_Plasmid_2,K562_ABE_1,K562_ABE_2
2719,BCRABL_2437,3688,4879,2383,2013
2720,BCRABL_984,1076,1521,583,723
2721,BCRABL_1575,917,1229,628,485
2722,BCRABL_3131,1283,1835,768,670
2723,BCRABL_902,9734,13083,5906,5387
2724,BCRABL_1492,1915,2626,1388,1379
2725,BCRABL_2395,685,878,378,310
2726,BCRABL_1776,8549,11057,1880,1910
2727,BCRABL_1103,6065,8193,3236,2968
2728,BCRABL_986,861,1123,536,534
2729,BCRABL_3031,2626,3415,1387,1303
2730,BCRABL_1833,297,367,147,197
2731,BCRABL_1401,3538,4816,2482,2245
2732,BCRABL_67,1145,1533,771,630
2733,BCRABL_377,2416,3304,1579,1524
2734,BCRABL_1214,263,356,129,179
2735,BCRABL_2463,2236,3012,1391,1339
2736,BCRABL_1340,5496,7528,3650,3152
2737,BCRABL_1298,5994,8169,3981,3421
2738,BCRABL_305,1205,1706,807,624
2739,BCRABL_1345,4352,5897,357,426
2740,BCRABL_2646,5082,6933,2831,2600
2741,BCRABL_1171,3661,5131,997,1095
2742,BCRABL_2389,3350,4390,2011,1851
2743,BCRABL_1441,424,563,298,310
2744,BCRABL_2977,1456,1882,939,886
2745,BCRABL_2302,2289,3058,1268,1142
2746,BCRABL_2974,10644,13703,5722,5424
2747,BCRABL_1044,5734,7432,3158,2669
2748,BCRABL_2217,1024,1394,601,741
2749,BCRABL_2827,4819,6274,2326,2100
2750,BCRABL_531,2471,3147,1499,1209
2751,BCRABL_380,6613,9255,3893,3550
2752,BCRABL_1106,8980,12402,6487,5959
2753,BCRABL_2757,13694,18554,8885,8213
2754,BCRABL_2689,2921,3900,1728,1817
2755,BCRABL_1335,28715,39627,16720,15066
2756,BCRABL_1820,4051,5388,2778,2766
2757,BCRABL_248,796,1219,475,352
2758,BCRABL_2296,2787,3686,1486,1376
2759,BCRABL_207,244,304,137,114
2760,BCRABL_2426,1044,1406,593,697
2761,BCRABL_608,6273,8512,3854,3504
2762,BCRABL_2195,8931,11837,4145,3943
2763,BCRABL_772,7951,10295,3869,3828
